Gene1,Gene2
Cdx2,Nanog
Cdx2,Pou5f1
Eomes,Sox2
Esrrb,Nanog
Gata3,Cdx2
Gata4,Bmp4
Gata4,Id2
Gata6,Cdx2
Hnf4a,Cdx2
Hnf4a,Cebpa
Klf4,Nanog
Klf5,Nanog
Klf5,Pdgfa
Klf5,Pou5f1
Msc,Gata4
Nanog,Cdx2
Nanog,Esrrb
Nanog,Gata6
Nanog,Snai1
Pou5f1,Cdx2
Pou5f1,Fgf4
Pou5f1,Gata6
Pou5f1,Klf2
Pou5f1,Nanog
Pou5f1,Pou5f1
Pou5f1,Sox2
Pou5f1,Utf1
Runx1,Cebpa
Sall4,Pou5f1
Sall4,Sall4
Snai1,Cdx2
Snai1,Fn1
Snai1,Hnf4a
Snai1,Nanog
Snai1,Snai1
Sox2,Fgf4
Sox2,Nanog
Sox2,Pou5f1
Sox2,Sox2
Sox2,Utf1
Tcfap2a,Cebpa
Tcfap2c,Fgf4
Tcfap2c,Klf4
